Id,SalePrice
1461,122234.99595955294
1462,139178.2636841985
1463,169872.0542512359
1464,199138.80165588506
1465,196257.10922934418
1466,182619.85966400127
1467,200754.866271873
1468,173034.14898422267
1469,208088.21435857215
1470,118252.26905730926
1471,200048.73990276153
1472,112555.15779928863
1473,88064.08531105239
1474,148705.89951938367
1475,111190.90212161979
1476,313040.56014738
1477,249881.24444596702
1478,289183.32547083776
1479,268060.7869959711
1480,386285.1067526664
1481,289265.5588691111
1482,211435.14327074494
1483,174685.6348820757
1484,172963.716409666
1485,207308.94186756038
1486,207784.37808122928
1487,285212.27023808146
1488,260324.31090684957
1489,181886.9981307499
1490,232981.13720526127
1491,211504.53970352258
1492,90426.20873619663
1493,219465.95864771982
1494,288069.0553354237
1495,275579.27905941056
1496,215710.97587212478
1497,158689.5328979334
1498,152318.14062559395
1499,162017.5294648651
1500,150472.59577406524
1501,189066.59016649774
1502,146061.9177061841
1503,286086.9948363006
1504,246544.75633575046
1505,223037.12948208814
1506,196997.14646901586
1507,241454.5830160915
1508,198596.45776804723
1509,153425.93172773393
1510,144251.46163180354
1511,147768.57980752666
1512,189769.14740378177
1513,166459.8966299207
1514,157420.3756563887
1515,204396.8991278396
1516,170779.4365469492
1517,166310.29242594773
1518,118868.13734457083
1519,240796.68304192275
1520,122672.23441717774
1521,113388.3173878768
1522,204902.2210470282
1523,74005.80278102471
1524,101185.63413032796
1525,98785.92745774798
1526,84605.05433562375
1527,90674.54326349846
1528,150072.45892381226
1529,128291.43018708983
1530,245827.12035457836
1531,143591.15240819193
1532,118226.9781745898
1533,144876.40378680127
1534,123530.12278990843
1535,143188.4833131982
1536,97261.11960651889
1537,43024.250792026054
1538,177981.47587961028
1539,217808.58082451392
1540,112522.13588624354
1541,153446.8771557035
1542,130444.29206359759
1543,184946.2215181496
1544,74419.69345434895
1545,130035.13048738916
1546,140107.97738154652
1547,141476.88529371237
1548,132213.4921852944
1549,126179.09895549132
1550,126041.08840124356
1551,131011.22886574618
1552,134539.79434795585
1553,167794.93210305693
1554,117656.49206461338
1555,158672.82303543668
1556,80258.39594810549
1557,90087.36519183055
1558,92457.05659742747
1559,73509.82218901068
1560,125176.04901616252
1561,123951.26049667178
1562,116698.84488870553
1563,114864.87732181512
1564,149011.5996264047
1565,139636.71973662009
1566,244002.2523135948
1567,68730.91128316848
1568,221420.98893975443
1569,92118.47818828607
1570,144207.14488795912
1571,120777.6538844083
1572,134066.21397985122
1573,243732.5426888601
1574,117219.29811654612
1575,243937.75749020674
1576,257909.03276117635
1577,198093.19049965916
1578,145811.96769055352
1579,136017.75282271556
1580,210010.48160637636
1581,136361.41669536894
1582,126789.12997718784
1583,306108.39758863696
1584,228178.42531053
1585,157149.60739234323
1586,54049.45790391625
1587,98704.3609905187
1588,141576.61428394448
1589,107460.6432493208
1590,130113.32911830675
1591,74083.58355648164
1592,121236.56232247688
1593,149974.54461327475
1594,125317.9724696367
1595,119982.99402510561
1596,207090.7267035984
1597,168304.34246023372
1598,207105.5154905673
1599,199230.1585487849
1600,184604.32587404526
1601,24903.568008172326
1602,127355.307529337
1603,58281.806625327095
1604,249541.23813777836
1605,269169.47064938676
1606,172844.39978010487
1607,165334.99579163198
1608,230633.12507303758
1609,196242.30817974266
1610,156917.89458684344
1611,164825.54056071164
1612,163753.33455398562
1613,173813.0354752217
1614,125002.01569293533
1615,69233.77672481071
1616,51993.707336538704
1617,56369.791967765894
1618,105159.82453406043
1619,156474.3104890664
1620,176108.86608451908
1621,134869.85455958103
1622,126776.44422876625
1623,257995.0999953465
1624,207024.93505708734
1625,118501.34759468585
1626,193549.41469215858
1627,193684.96306544822
1628,278215.20315466635
1629,195796.1642678606
1630,301298.02082662005
1631,211222.46661529527
1632,226392.81375795184
1633,194438.88502691896
1634,194399.92515804642
1635,189957.9277386577
1636,164017.96890678536
1637,195838.52893728274
1638,215091.81479757
1639,199215.31065833615
1640,254297.0220786375
1641,197318.8007550703
1642,225717.37972161896
1643,224408.44140611845
1644,232300.25209008576
1645,244010.8017146294
1646,181303.7156489815
1647,174955.24759375467
1648,134122.91567186313
1649,129725.26553244749
1650,115464.80469547235
1651,110265.40136100585
1652,117583.01392704528
1653,117584.14912667824
1654,151515.01221007016
1655,146894.54843691853
1656,139414.31476433342
1657,152571.4000793991
1658,143660.79768631118
1659,127188.93645680742
